"Country","Wikidata","Commodity","CommodityType","Year","ApparentUse","Production"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2002","139.610841","190.69"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2003","146.42746","209.2"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2004","140.32746500000002","216.10000000000002"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2005","148.22989999999996","235.28"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2006","163.49915599999997","264.78"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2007","167.14838500000008","281.43"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2008","166.736","288.68"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2009","170.16280000000003","286.93"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2010","170.152465","277.23"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2011","169.229517","273.4"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2012","164.904924","270.39"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2013","161.43704200000002","269.54"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2014","156.75627500000002","266.88"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2015","159.344447","256.22"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2016","160.76202899999998","251.24"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2017","184.98640799999998","264.38"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2018","190.39678399999997","263.89"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2019","189.208348","263.94"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2020","189.01918199999994","264.84"
"Austria","http://wikidata.org/entity/Q40","ACIDIFIED MILK","DAIRY","2021","",""
"Austria","http://wikidata.org/entity/Q40","BARLEY","CEREAL","2002","918.859248","861.4"
"Austria","http://wikidata.org/entity/Q40","BARLEY","CEREAL","2003","932.1811359999999","882.3"
"Austria","http://wikidata.org/entity/Q40","BARLEY","CEREAL","2004","1059.5232580000002","1006.7"
"Austria","http://wikidata.org/entity/Q40","BARLEY","CEREAL","2005","888.9973990000001","879.6"
"Austria","http://wikidata.org/entity/Q40","BARLEY","CEREAL","2006","936.0420049999999","914.1"
"Austria","http://wikidata.org/entity/Q40","BARLEY","CEREAL","2007","882.69456","811"
"Austria","http://wikidata.org/entity/Q40","BARLEY","CEREAL","2008","1038.92444","967.9"
"Austria","http://wikidata.org/entity/Q40","BARLEY","CEREAL","2009","864.113767","835.1"
"Austria","http://wikidata.org/entity/Q40","BARLEY","CEREAL","2010","815.917081","777.96"
